"DIFF";"R2";"R7";"R8";"R17";"R22";"R32"
0;0;0,978;0,2203;0,104;1,5371;0,09578
0;0,512;0,714;0,6152;0,0674;1,192;0,243
0;0,32;1,241;0,9091;0,106;1,4819;0,1994
1;0,754;0,457;0,1077;0,0507;1,5371;0,3328
0;0;0,277;1,4463;0,0952;1,3125;0,1115
0;0,15;0,858;0,4238;0,0443;0,2686;0,3723
1;0,533;0,912;1,0682;0,0415;0,8815;0,2885
1;0,867;0,236;0,3085;0,0552;1,3482;0,3078
0;0;1,812;0,4024;0,101;1,4274;-0,0979
1;0,908;0,126;0,864;0,0625;0,5662;0,4313
1;0,73;0,58;0,249;0,124;2,376;0,281
1;0,518;0,818;0,446;0,0649;0,5457;0,4075
0;0,696;0,39;1,8494;0,0949;1,297;0,2024
0;0,439;0,691;0,1044;0,0552;0,1623;0,2023
0;0,315;0,954;0,983;0,0671;1,5371;0,3222
1;0,286;1,241;0,08641;0,0481;0,6446;0,3417
1;0,885;0,156;0,5488;0,0202;0,2891;0,3303
1;0,737;0,225;0,06311;0,0598;0,3018;0,2603
1;0,411;0,981;0,7517;0,0536;2,8563;0,2045
1;0,416;0,572;0,1853;0,0774;0,2474;0,2426
1;0,758;0,527;0,5276;0,104;0,09821;0,392
1;0,779;0,299;0,3152;0,0806;0,3355;0,2736
1;0,714;0,503;0,146;0,0478;0,6348;0,22
0;0,551;1,238;1,2139;0,0418;0,3035;0,05513
0;0;2,476;0,4765;0,0903;0,4424;0,2787
1;0,586;0,513;0,6256;0,0374;0,09821;0,4077
1;0,764;0,416;0,5024;0,0769;0,8835;0,2263
0;0,808;0,721;1,0374;0,0273;0,8618;0,3061
1;0,649;0,574;0,4329;0,0792;0,7798;0,3595
1;0,746;0,473;0,6713;0,0599;0,366;0,2493
1;0,614;0,627;0,1735;0,0791;0,891;0,3668
1;0,708;0,32;0,2116;0,0425;1,5371;0,334
1;0,74;0,485;0,05572;0,0604;0,3133;0,2396
1;0,664;0,584;0,8164;0,0395;0,4739;0,4164
1;0,775;0,402;0,929;0,0287;1,8534;0,2747
0;0,116;0,511;0,04217;0,0928;0,6368;0,3776
0;0,138;1,306;0,6038;0,124;0,5241;0,1046
1;0,807;0,155;0,1914;0,0492;0,5611;0,1313
1;0,383;0,554;0,316;0,0507;0,7614;0,3981
0;0,514;1,241;0,04217;0,0524;0,2176;0,05583
1;0,866;0,327;0,1996;0,084;0,1158;0,345
0;0,442;0,737;0,5621;0,0553;0,4453;0,2881
0;0,23;0,876;0,4513;0,0562;0,2406;0,1669
1;0,683;0,658;0,5656;0,0465;0,1257;0,2879
1;0,93;0,0513;0,09413;0,0596;0,2727;0,4625
1;0,94;0,101;0,07687;0,0691;0,2482;0,415
0;0,646;0,423;0,2736;0,0749;0,3133;0,3148
0;0;0,924;0,61;0,11;0,2922;0,02701
0;0,547;0,605;0,7006;0,0543;0,5753;0,2874
0;0,63;0,709;0,07671;0,0823;1,0154;0,3562
0;0,238;1,241;0,4115;0,0964;0,1482;0,0788
0;0,257;0,743;0,07115;0,053;0,1193;0,186
0;0;0,661;0,377;0,0815;0,09821;0,3176
0;0;2,296;0,4687;0,0325;0,5333;-0,00285
1;0,95;0,0695;0,8797;0,0333;0,5561;0,2447
0;0,411;1,226;0,4715;0,0764;1,0179;0,2271
1;0,596;0,622;0,1138;0,0763;0,464;0,299
0;0,498;1,005;0,1817;0,0528;0,1588;0,2041
0;0,0711;0,994;0,2507;0,0727;0,2244;0,1099
0;0;0,615;0,04883;0,0605;0,09821;0,1649
0;0,263;1,089;0,06988;0,0745;0,5912;0,2541
1;0,95;0,0754;0,4866;0,0519;2,8436;0,1955
1;0,784;0,389;0,5818;0,0585;0,2041;0,3054
1;0,91;0,0936;0,5176;0,0362;0,3479;0,4121
1;0,95;0,0695;1,8494;0,0202;0,4619;0,3839
1;0,812;0,193;0,4476;0,0632;1,0331;0,2771
0;0,541;0,0695;0,2474;0,0709;0,4428;0,2237
0;0;1,011;0,5137;0,072;0,4041;0,2956
0;0,7;0,337;0,04217;0,0909;3,9397;0,1318
1;0,88;0,149;0,7717;0,0636;1,0395;0,4066
0;0;0,453;0,2858;0,103;0,464;0,2537
1;0,67;0,357;0,349;0,0635;0,4699;0,4166
0;0,454;0,739;0,5186;0,0684;0,462;0,2478
1;0,599;0,864;0,1428;0,0526;0,2548;0,3306
0;0,318;0,864;0,659;0,03;1,3175;0,2864
1;0,714;0,44;0,04883;0,0442;0,5749;0,3423
0;0;1,844;0,7271;0,0379;0,1193;0,02205
0;0,255;0,879;0,3972;0,0839;0,4358;0,03186
0;0,641;0,665;0,8116;0,0726;0,2567;0,4059
1;0,448;0,783;0,597;0,06;0,4754;0,1609
1;0,417;0,955;0,3652;0,0709;0,8186;0,2016
1;0,366;0,802;0,08159;0,0346;0,5653;0,2502
1;0,327;1,164;0,5838;0,0997;0,1323;0,1441
1;0,722;0,262;0,1081;0,0819;0,8573;0,3489
1;0,681;0,446;1,1702;0,0736;1;0,2806
1;0,915;0,144;0,193;0,038;1,3081;0,4313
1;0,722;0,373;0,1092;0,0857;0,1496;0,3713
1;0,603;0,868;0,187;0,0701;0,747;0,3337
0;0;0,103;0,5249;0,0695;1,1611;0,1433
0;0,396;1,033;0,0749;0,0767;0,2399;0,1737
1;0,376;1,241;0,2443;0,0651;0,5733;0,3207
1;0,841;0,282;0,3839;0,0469;0,7542;0,3657
1;0,725;0,641;0,1011;0,0357;0,2608;0,1842
0;0,28;0,427;0,4329;0,0435;0,1676;0,1711
0;0,428;1,226;0,3156;0,0383;0,3305;0,1914
0;0,119;2,557;0,2954;0,03;0,3018;-0,0528
0;0,194;1,032;0,318;0,0949;1,5371;0,1514
0;0;0,772;0,4044;0,105;0,3277;0,2804
1;0,611;1,108;0,2933;0,03;1,1188;0,2642
1;0,48;0,767;0,6763;0,0739;0,1193;0,3156
0;0;0,426;0,1292;0,0832;0,1008;0,2719
1;0,451;0,807;0,4548;0,0611;1,6134;0,2259
1;0,937;0,132;0,2754;0,0538;0,1367;0,3185
0;0;0,333;0,5392;0,114;0,6934;-0,0979
1;0,851;0,208;0,137;0,041;0,3938;0,2669
0;0,178;1,539;0,054;0,0866;1,1559;0,1838
1;0,887;0,167;0,232;0,0339;0,1904;0,3116
0;0,518;0,586;0,4491;0,0961;0,1591;0,06525
1;0,537;0,904;0,1253;0,0448;0,4307;0,3947
0;0,275;1,241;0,5427;0,0859;5,1109;0,05513
0;0,442;0,856;0,04883;0,0599;0,7257;0,0917
1;0,902;0,128;0,09554;0,0477;0,4551;0,393
1;0,658;0,471;0,141;0,0566;0,2736;0,348
1;0,667;0,632;0,208;0,0415;0,3787;0,4025
1;0,829;0,312;1,094;0,0861;0,14;0,3392
1;0,65;0,407;0,1712;0,0533;0,4709;0,3829
0;0;2,557;0,1156;0,0535;0,173;0,06156
0;0,471;0,598;0,05269;0,0817;0,2839;0,2309
0;0,782;0,116;0,2755;0,076;0,6891;0,2413
0;0,374;1,241;0,1007;0,0687;0,6509;0,2399
0;0,404;1,308;0,3169;0,0233;2,0359;0,2659
1;0,597;0,718;0,2229;0,0662;0,2852;0,3249
0;0,644;0,148;0,4881;0,0262;0,53;0,3211
0;0,726;0,571;0,7256;0,0522;1,1;0,05856
1;0,314;0,62;0,2013;0,0878;0,4817;0,2155
0;0,846;0,17;0,2003;0,0202;0,7381;0,3191
1;0,561;0,34;0,1735;0,0773;0,4032;0,1944
1;0,94;0,101;0,1791;0,124;3,9397;0,2327
1;0,94;0,106;0,1329;0,0626;0,3195;0,2349
0;0;1,382;0,1262;0,0598;0,1775;0,381
1;0,857;0,159;0,2522;0,0665;0,4242;0,3363
1;0,749;0,238;0,2933;0,0974;0,2395;0,3325
1;0,362;1,241;0,1637;0,0296;2,1743;0,402
1;0,623;0,66;0,4447;0,0648;0,4631;0,2942
0;0,418;1,01;0,22;0,044;0,6396;0,2328
0;0;0,581;0,9906;0,114;0,05539;0,1623
1;0,924;0,161;0,137;0,0809;0,1854;0,4475
0;0,753;0,285;1,8494;0,0599;0,4793;0,1936
0;0,0626;0,915;0,125;0,0717;0,313;0,2336
1;0,848;0,183;0,8797;0,114;1,0094;0,3157
0;0,528;0,526;0,1452;0,0783;0,4475;0,2376
1;0,829;0,305;0,5891;0,049;0,965;0,4313
1;0,9;0,12;0,1922;0,0411;0,5899;0,2787
1;0,926;0,134;0,3514;0,0586;0,1765;0,4009
0;0,222;0,531;0,5745;0,0395;0,3147;0,1408
0;0;0,311;0,4913;0,109;1,2291;0,2829
0;0,438;0,55;0,4034;0,124;0,536;0,1299
1;0,768;0,275;0,3465;0,0438;1,1139;0,3646
0;0,72;0,282;0,1868;0,0907;0,7691;0,2868
1;0,942;0,085;0,2072;0,0409;0,7974;0,3448
0;0,666;0,471;0,04883;0,0973;0,7662;0,1985
0;0,644;0,579;0,581;0,103;0,7438;0,4505
0;0;0,886;0,3109;0,117;0,9608;-0,142
1;0,13;0,694;0,6721;0,0526;0,1574;0,6608
1;0,878;0,226;0,267;0,077;0,1469;0,2424
1;0,729;0,33;0,216;0,0334;0,1525;0,3276
0;0;1,725;0,5346;0,113;1,0389;0,09146
0;0,854;0,122;0,4966;0,052;0,7058;0,08475
0;0,33;0,516;0,1262;0,0588;0,09821;0,2601
1;0,907;0,166;0,5594;0,0693;0,2031;0,3231
0;0,849;0,857;0,441;0,0416;0,2786;0,07914
1;0,95;0,0727;0,09116;0,0672;0,4954;0,1949
1;0,801;0,213;0,582;0,0431;0,4032;0,4134
0;0,632;0,343;0,1735;0,0202;0,4842;0,4026
0;0,445;0,88;0,1658;0,194;0,4188;0,05071
0;0,5;0,535;0,1888;0,092;0,08011;0,1795
1;0,745;0,308;0,6928;0,0473;0,9392;0,4298
1;0,588;0,562;0,101;0,0309;0,4058;0,2838
1;0,574;0,373;0,3317;0,0695;0,3;0,3653
0;0;0,377;0,1857;0,08;1,5371;0,1521
1;0,84;0,322;0,2094;0,0755;0,8235;0,3859
1;0,628;0,524;0,123;0,0413;0,7001;0,4313
1;0,63;0,691;0,1309;0,0682;0,7654;0,3977
1;0,755;0,371;0,1494;0,114;2,3107;0,3238
0;0,417;1,069;0,197;0,0613;0,6902;0,2154
1;0,95;0,0695;0,1267;0,0449;0,3292;0,3178
1;0,367;1,347;0,7025;0,0293;1,5371;0,3892
1;0,818;0,403;0,02429;0,124;3,1657;0,2696
1;0,756;0,577;0,05146;0,03;0,1464;0,3748
1;0,95;0,0695;0,1561;0,0202;0,1193;0,2006
0;0,668;0,293;0,1143;0,06;0,562;0,05607
1;0,57;0,584;0,3566;0,0935;0,6908;0,05852
1;0,769;0,324;0,9594;0,0269;0,6875;0,2427
0;0,633;0,379;0,09553;0,0814;0,5078;0,2621
0;0,572;0,398;0,2479;0,081;0,3697;0,2857
0;0,393;1,149;0,06219;0,0415;0,3595;0,2379
0;0,617;0,92;0,3032;0,0662;1,3598;0,2903
0;0,335;0,528;0,5183;0,112;0,1193;0,2435
1;0,366;0,635;0,1334;0,0646;0,3727;0,249
0;0;0,615;0,2041;0,0591;0,3109;0,2058
0;0,139;1,044;0,2605;0,075;0,3851;0,2142
1;0,65;0,473;0,6144;0,0483;0,5629;0,3123
1;0,473;0,913;0,2889;0,0248;1,1044;0,2738
1;0,754;0,636;0,1457;0,0415;0,4296;0,4453
1;0,763;0,344;0,3559;0,0839;0,2865;0,3498
0;0,0747;0,787;0,05957;0,0647;0,9347;0,2686
1;0,94;0,101;0,1718;0,124;1,5371;0,1643
1;0,787;0,272;0,134;0,0261;0,1484;0,4313
0;0,764;0,512;0,5015;0,114;0,6533;0,1717
0;0,345;0,91;0,1443;0,0365;0,4136;0,295
0;0;2,429;0,2058;0,0913;0,4422;0,4088
0;0,272;0,472;0,466;0,088;1,0243;0,05513
1;0,682;0,745;0,09558;0,0641;0,6582;0,3031
0;0,442;0,671;0,14;0,0545;0,5478;0,174
1;0,19;0,439;0,2994;0,0276;0,9328;0,3137
1;0,586;0,637;0,1747;0,0521;0,593;0,3325
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA
